Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Quantity,Unit Price,Extended Price,Quantity Available,Description
DigiKey,,,Value,,,,,
U.FL-R-SMT(01),Hirose Electric Co Ltd,H9161CT-ND,Antenna_Shield,1,1.79,$1.79 ,229413,CONN U.FL RCPT STR 50 OHM SMD
3000,Keystone Electronics,36-3000CT-ND,Battery_Cell,1,1.27,$1.27 ,45071,HOLDER BATTERY COIN 12MM DIA SMD
CL21B104MACNNNC,Samsung Electro-Mechanics,1276-2449-1-ND,0.1uF,20,0.031,$0.62 ,733,CAP CER 0.1UF 25V X7R 0805
GRM21BR61C106KE15K,Murata Electronics North America,490-6473-1-ND,10uF,10,0.208,$2.08 ,146048,CAP CER 10UF 16V X5R 0805
CL21C121JBANNNC,Samsung Electro-Mechanics,1276-1768-1-ND,120pF 50V,1,0.14,$0.14 ,4118,CAP CER 120PF 50V C0G/NP0 0805
C0805C220J5GACTU,KEMET,399-1113-1-ND,22pF,2,0.14,$0.28 ,100189,CAP CER 22PF 50V C0G/NP0 0805
CL21A226KOQNNNE,Samsung Electro-Mechanics,1276-6526-1-ND,22uF,3,0.57,$1.71 ,1682,CAP CER 22UF 16V X5R 0805
CC0603MRX5R7BB225,Yageo,311-3493-1-ND,6.8nF 50V,1,0.15,$0.15 ,3591,CAP CER 2.2UF 16V X5R 0603
CC0603MRX5R7BB225,Yageo,311-3493-1-ND,8.2nF,1,0.15,$0.15 ,3591,CAP CER 2.2UF 16V X5R 0603
SS14FL,ON Semiconductor,SS14FLCT-ND,0.55V 1A,1,0.48,$0.48 ,275,DIODE SCHOTTKY 40V 1A SOD123F
"CUS15S30,H3F",Toshiba Semiconductor and Storage,CUS15S30H3FCT-ND,30V 1.5A 400mV Vf,1,0.59,$0.59 ,1809,DIODE SCHOTTKY 30V 1.5A
150080RS75000,Wurth Electronics Inc.,732-4984-1-ND,LED,3,0.23,$0.69 ,4555,LED RED CLEAR 0805 SMD
150080YS75000,Wurth Electronics Inc.,732-4987-1-ND,LED,3,0.23,$0.69 ,93,LED YELLOW CLEAR 0805 SMD
150080GS75000,Wurth Electronics Inc.,732-4983-1-ND,LED,3,0.23,$0.69 ,27941,LED GREEN CLEAR 0805 SMD
OSTTC022162,On Shore Technology Inc.,ED2609-ND,CHARGE_A,1,1.09,$1.09 ,40960,TERM BLOCK 5.08MM HORZ 2POS PCB
OSTTC022162,On Shore Technology Inc.,ED2609-ND,CHARGE_B,1,1.09,$1.09 ,40960,TERM BLOCK 5.08MM HORZ 2POS PCB
OSTTC022162,On Shore Technology Inc.,ED2609-ND,CHARGE_C,1,1.09,$1.09 ,40960,TERM BLOCK 5.08MM HORZ 2POS PCB
S3B-XH-A(LF)(SN),JST Sales America Inc.,455-2250-ND,Conn_01x03,1,0.3,$0.30 ,64556,CONN HEADER XH SIDE 3POS 2.5MM
B4B-XH-A(LF)(SN),JST Sales America Inc.,455-2249-ND,Conn_01x04,2,0.29,$0.58 ,194546,CONN HEADER XH TOP 4POS 2.5MM
PPTC061LFBN-RC,Sullins Connector Solutions,S7004-ND,Conn_01x06,1,0.71,$0.71 ,35863,"CONN HEADER FEMALE 6POS .1"" TIN"
SPC02SYAN,Sullins Connector Solutions,S9001-ND,Jumper_NC_Dual,5,0.15,$0.75 ,325563,CONN JUMPER SHORTING GOLD FLASH
LBR2012T100K,Taiyo Yuden,587-2045-1-ND,10uH,1,0.15,$0.15 ,269533,FIXED IND 10UH 150MA 360 MOHM
NRS6045T150MMGK,Taiyo Yuden,587-2948-1-ND,15uH 0.096ohm,1,0.63,$0.63 ,949,FIXED IND 15UH 1.9A 91 MOHM SMD
NR6028T2R2N,Taiyo Yuden,587-2098-1-ND,2.2uH,1,0.52,$0.52 ,48985,FIXED IND 2.2UH 3.7A 26 MOHM SMD
"BC817-40,215",Nexperia USA Inc.,1727-6186-1-ND,BC817,3,0.2,$0.60 ,79777,TRANS NPN 45V 0.5A SOT23
STD70N10F4,STMicroelectronics,497-8806-1-ND,Q_NMOS_DGS,3,2.4,$7.20 ,8918,MOSFET N-CH 100V 60A DPAK
RC0805JR-070RL,Yageo,311-0.0ARCT-ND,0,2,0.15,$0.30 ,1840446,RES SMD 0 OHM JUMPER 1/8W 0805
RR1220P-103-D,Susumu,RR12P10.0KDCT-ND,10K,10,0.143,$1.43 ,460251,RES SMD 10K OHM 0.5% 1/10W 0805
RC0805FR-0710K2L,Yageo,311-10.2KCRCT-ND,10k2,2,0.15,$0.30 ,197609,RES SMD 10.2K OHM 1% 1/8W 0805
RC0805JR-071KL,Yageo,311-1.0KARCT-ND,1k,8,0.15,$1.20 ,4410956,RES SMD 1K OHM 5% 1/8W 0805
RC0805FR-071K96L,Yageo,311-1.96KCRCT-ND,1k96,1,0.15,$0.15 ,150565,RES SMD 1.96K OHM 1% 1/8W 0805
RNCP0805FTD20K0,Stackpole Electronics Inc.,RNCP0805FTD20K0CT-ND,20k,4,0.15,$0.60 ,154363,RES SMD 20K OHM 1% 1/4W 0805
RNCP0805FTD249R,Stackpole Electronics Inc.,RNCP0805FTD249RCT-ND,250,3,0.15,$0.45 ,20373,RES SMD 249 OHM 1% 1/4W 0805
RC0805FR-074K7L,Yageo,311-4.70KCRCT-ND,4.7K,1,0.15,$0.15 ,3106736,RES SMD 4.7K OHM 1% 1/8W 0805
RC0805FR-07453KL,Yageo,311-453KCRCT-ND,453k,1,0.15,$0.15 ,51778,RES SMD 453K OHM 1% 1/8W 0805
ESR10EZPJ470,Rohm Semiconductor,RHM47KCT-ND,47K,2,0.15,$0.30 ,36340,RES SMD 47 OHM 5% 0.4W 0805
RC0805FR-0797K6L,Yageo,311-97.6KCRCT-ND,97.6k,1,0.15,$0.15 ,102434,RES SMD 97.6K OHM 1% 1/8W 0805
TXS0108EPWR,Texas Instruments,296-46258-1-ND,LOGIC-TXS0108EPWR(TSSOP20),1,2.41,$2.41 ,865,IC 8BIT NON-INV TRANSLTR 20TSSOP
MS560702BA03-50,TE Connectivity Measurement Specialties,223-1198-1-ND,MS5607,1,4.39,$4.39 ,9557,BAROMETRIC PRESSURE SENSOR
109990166,"Seeed Technology Co., Ltd",1597-1488-ND,RFM95HW,2,9.68,$19.36 ,94,RFM95 ULTRA-LONG RANGE TRANSCEIV
SAM-M8Q-0-10,U-Blox America Inc.,672-1054-1-ND,SAM-M8Q,1,24.35,$24.35 ,1683,U-BLOX M8 GNSS ANTENNA MODULE TC
TLV62568DBVR,Texas Instruments,296-47387-1-ND,TLV62568,1,1.91,$1.91 ,43,1A HIGH EFFICIENCY STEP-DOWN BUC
TPS54332DDAR,Texas Instruments,296-39420-1-ND,TPS54332,1,2.53,$2.53 ,23183,IC REG BUCK ADJ 3.5A 8SOPWRPAD
ABLS-16.000MHZ-B4-T,Abracon LLC,535-10226-1-ND,16MHz,1,0.36,$0.36 ,45174,CRYSTAL 16.0000MHZ 18PF SMD
472192001,"Molex, LLC",WM6698CT-ND,sdcard,1,1.52,$1.52 ,31298,CONN MICRO SD CARD HINGED TYPE
LSM9DS1TR,STMicroelectronics,497-14946-1-ND,,1,9.21,$9.21 ,13588,IMU ACCEL/GYRO/MAG I2C/SPI 24LGA
,,,,,,,,
,,,,,,,,
,,,,,,,,
